RESULT_DATE,PLAYER_NAME,PLAYER_TYPE,OPPONENT,PA,AB,H,R,RBI,HR,BB,HBP,SO,SB,DOUBLES,TRIPLES,SINGLES,TOTAL_BASES,H_PLUS_R_PLUS_RBI,HITTER_FANTASY_PP,SOURCE_FILE,IP,OUTS,K,ER,HITS_ALLOWED,HR_ALLOWED,PITCHES,WIN,QUALITY_START,PITCHER_FANTASY_PP
2026-07-10,TSUNG-CHE CHENG,HITTER,NYM,4.0,4.0,2.0,1.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,8.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,TY FRANCE,HITTER,TOR,4.0,4.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,8.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,TYLER CALLIHAN,HITTER,MIL,4.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,TYLER FREEMAN,HITTER,SF,5.0,5.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,TYLER HEINEMAN,HITTER,MIN,4.0,4.0,2.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,8.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,TYLER O'NEILL,HITTER,KC,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,TYLER SODERSTROM,HITTER,CWS,3.0,3.0,1.0,1.0,1.0,1.0,0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,14.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,TYLER STEPHENSON,HITTER,CHC,4.0,4.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,6.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,TYRONE TAYLOR,HITTER,BOS,2.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,VAUGHN GRISSOM,HITTER,MIN,4.0,3.0,2.0,1.0,2.0,1.0,0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0,19.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,VICTOR CARATINI,HITTER,LAA,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,VICTOR MESA JR.,HITTER,SEA,4.0,4.0,3.0,1.0,1.0,1.0,0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,5.0,25.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,VICTOR ROBLES,HITTER,TB,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,VLADIMIR GUERRERO JR.,HITTER,SD,4.0,3.0,1.0,2.0,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,11.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,WADE MECKLER,HITTER,MIN,4.0,4.0,2.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,8.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
