match_id,name,status,begin_at,end_at,number_of_games,match_type,league_id,league,serie_id,serie,tournament_id,tournament,team1_id,team1,team2_id,team2,winner_id,winner
1555097,Round 1: PCY vs BST.A,canceled,,,3,best_of,4842,CCT South America,10737,Series 3 2026,21293,Group Stage,128378,Procyon Gaming,135743,BESTIA Academy,135743.0,BESTIA Academy
1555094,Round 1: VSC vs RF,canceled,,,3,best_of,4842,CCT South America,10737,Series 3 2026,21293,Group Stage,137320,Vasco Esports,127214,Red Feet,127214.0,Red Feet
1554007,Elimination match: ILWL vs Lavked,canceled,,,3,best_of,4854,European Pro League,10736,Series 8 2026,21288,Group A,137511,illwill,138370,Lavked,138370.0,Lavked
1554005,ILWL vs WBT,canceled,,,3,best_of,4854,European Pro League,10736,Series 8 2026,21288,Group A,137511,illwill,138841,WBT,138841.0,WBT
1554004,Lavked vs Just Players,canceled,,,3,best_of,4854,European Pro League,10736,Series 8 2026,21288,Group A,138370,Lavked,138406,Just Players,138406.0,Just Players
1550165,Upper bracket semifinal 2: Atreides vs Subtop De France,canceled,,,3,best_of,5232,CCT Europe,10731,Challengers Series season 4 2026,21274,Playoffs,138026,Atreides,138710,Subtop De France,138026.0,Atreides
1550161,Lower bracket round 2 match 4: LILMIX vs MISA,canceled,,,3,best_of,5232,CCT Europe,10731,Challengers Series season 4 2026,21274,Playoffs,126417,Lilmix,137075,Misa Esports,126417.0,Lilmix
1550160,Lower bracket round 2 match 3: DNT vs Mai Tai,canceled,,,3,best_of,5232,CCT Europe,10731,Challengers Series season 4 2026,21274,Playoffs,135981,Donstu Esports,138848,Mai Tai,135981.0,Donstu Esports
1550158,Lower bracket round 2 match 1: Wampirki vs JUL,canceled,,,3,best_of,5232,CCT Europe,10731,Challengers Series season 4 2026,21274,Playoffs,138836,Wampirki,138612,Julie&cie,138836.0,Wampirki
1550156,Upper bracket quarterfinal 3: Just Players vs Atreides,canceled,,,3,best_of,5232,CCT Europe,10731,Challengers Series season 4 2026,21274,Playoffs,138406,Just Players,138026,Atreides,138026.0,Atreides
1550151,Lower bracket round 1 match 2: MEGO vs SAW,canceled,,,3,best_of,5232,CCT Europe,10731,Challengers Series season 4 2026,21274,Playoffs,128629,megoshort,126738,SAW,126738.0,SAW
1550150,Lower bracket round 1 match 1: Wampirki vs BIG.A,canceled,,,3,best_of,5232,CCT Europe,10731,Challengers Series season 4 2026,21274,Playoffs,138836,Wampirki,126694,BIG Academy,138836.0,Wampirki
1550146,Upper bracket round 1 match 5: Just Players vs OBSB,canceled,,,3,best_of,5232,CCT Europe,10731,Challengers Series season 4 2026,21274,Playoffs,138406,Just Players,137449,OlyBet SB,138406.0,Just Players
1550145,Upper bracket round 1 match 4: Mai Tai vs MEGO,canceled,,,3,best_of,5232,CCT Europe,10731,Challengers Series season 4 2026,21274,Playoffs,138848,Mai Tai,128629,megoshort,138848.0,Mai Tai
1550143,Upper bracket round 1 match 2: MISA vs Wampirki,canceled,,,3,best_of,5232,CCT Europe,10731,Challengers Series season 4 2026,21274,Playoffs,137075,Misa Esports,138836,Wampirki,137075.0,Misa Esports
1550142,Upper bracket round 1 match 1: BIG.A vs EJ,canceled,,,3,best_of,5232,CCT Europe,10731,Challengers Series season 4 2026,21274,Playoffs,126694,BIG Academy,137028,Endless Journey,137028.0,Endless Journey
1550141,Winners match: LDP vs VEXA,finished,,,3,best_of,4554,Gamers Club Liga Série A,10694,June 2026,21222,Group B,131848,largadosypelados,137468,Vexa,137468.0,Vexa
1547970,Elimination match: VSC vs ISG,canceled,,,3,best_of,5022,Thunderpick World Championship,10730,South American Series #1 2026,21270,Group A,137320,Vasco Esports,125863,Isurus,125863.0,Isurus
1547967,LDP vs VSC,canceled,,,3,best_of,5022,Thunderpick World Championship,10730,South American Series #1 2026,21270,Group A,131848,largadosypelados,137320,Vasco Esports,131848.0,largadosypelados
1545548,Lower bracket quarterfinal 2: INF vs K27,canceled,,,3,best_of,5538,Super DraculaN,10727,Season 1 2026,21263,Group B,127976,Infinite,135298,K27,127976.0,Infinite
1545468,Upper bracket quarterfinal 4: K27 vs WAL,canceled,,,3,best_of,5538,Super DraculaN,10727,Season 1 2026,21263,Group B,135298,K27,138610,Walczaki,138610.0,Walczaki
1542824,Quarterfinal 1: QUA vs HEC,canceled,,,3,best_of,4243,ESEA,10722,European Finals season 57 2026,21253,Playoffs,130570,QUAZAR,137285,Hermine Esports Club,130570.0,QUAZAR
1542823,Round 3 match 4: BERG vs WBT,canceled,,,3,best_of,4243,ESEA,10722,European Finals season 57 2026,21253,Playoffs,138181,Esport BERG,138377,WROTBERRY,138377.0,WROTBERRY
1540269,CHAOS vs ADN,canceled,,,3,best_of,5078,United21,10716,Season 51 2026,21246,Group C,138701,CHAOS,138303,Alpha Dominion Nation,138303.0,Alpha Dominion Nation
